Title,background,method,result,"background,method","background,result","method,result","method,result,background",isInfluential,TotalCitationCount,Year
A general evaluation measure for document organization tasks,3,0,0,0,0,0,0,0,3,2013
A novel TF-IDF weighting scheme for effective ranking,1,2,0,0,0,0,0,3,3,2013
An LDA-smoothed relevance model for document expansion: a case study for spoken document retrieval,0,0,0,0,0,0,0,9,3,2013
Click model-based information retrieval metrics,0,3,0,0,0,0,0,9,3,2013
Deciding on an adjustment for multiplicity in IR experiments,0,3,0,0,0,0,0,0,3,2013
Estimating topical context by diverging from external resources,0,0,0,0,0,0,0,9,3,2013
Extractive summarisation via sentence removal: condensing relevant sentences into a short summary,0,3,0,0,0,0,0,0,3,2013
How query cost affects search behavior,0,0,3,0,0,0,0,9,3,2013
InfoLand: information lay-of-land for session search,0,0,0,0,0,0,0,0,3,2013
Learning to combine representations for medical records search,0,0,0,3,0,0,0,0,3,2013
Modeling term dependencies with quantum language models for IR,3,0,0,0,0,0,0,0,3,2013
News vertical search: when and what to display to users,0,0,0,0,0,0,0,0,3,2013
On contextual photo tag recommendation,3,0,0,0,0,0,0,0,3,2013
Shame to be sham: addressing content-based grey hat search engine optimization,0,3,0,0,0,0,0,9,3,2013
The cluster hypothesis for entity oriented search,3,0,0,0,0,0,0,0,3,2013
The impact of intent selection on diversified search evaluation,3,0,0,0,0,0,0,0,3,2013
Toward self-correcting search engines: using underperforming queries to improve search,3,0,0,0,0,0,0,0,3,2013
Utilizing query change for session search,0,0,0,0,0,0,0,0,3,2013
An unsupervised topic segmentation model incorporating word order,0,2,0,0,0,0,0,0,2,2013
Compact query term selection using topically related text,2,0,0,0,0,0,0,0,2,2013
Preference based evaluation measures for novelty and diversity,0,0,0,0,0,0,0,0,2,2013
Query representation for cross-temporal information retrieval,1,0,0,0,0,0,0,2,2,2013
Search result diversification in resource selection for federated search,0,2,0,0,0,0,0,0,2,2013
Sentiment diversification with different biases,0,0,0,0,0,0,0,0,2,2013
An experimental study on implicit social recommendation,0,1,0,0,0,0,0,0,1,2013
Beliefs and biases in web search,1,0,0,0,0,0,0,0,1,2013
Diversified relevance feedback,1,0,0,0,0,0,0,0,1,2013
Adaptation of the concept hierarchy model with search logs for query recommendation on intranets,12,0,0,0,0,0,0,144,24,2012
An uncertainty-aware query selection model for evaluation of IR systems,5,0,0,0,0,0,0,0,15,2012
Multi-aspect query summarization by composite query,0,0,0,0,0,0,0,0,12,2012
Time drives interaction: simulating sessions in diverse searching environments,9,0,0,0,0,0,0,36,12,2012
Adaptive query suggestion for difficult queries,0,0,0,0,0,0,0,0,10,2012
Combining implicit and explicit topic representations for result diversification,3,6,0,0,0,0,0,0,9,2012
Efficient in-memory top-k document retrieval,3,3,0,0,0,0,0,27,9,2012
Improving retrieval of short texts through document expansion,3,3,3,0,0,0,0,0,9,2012
Summarizing highly structured documents for effective search interaction,6,0,0,0,0,0,0,27,9,2012
Learning to suggest: a machine learning framework for ranking query suggestions,0,8,0,0,0,0,0,0,8,2012
Mixture model with multiple centralized retrieval algorithms for result merging in federated search,4,2,2,0,0,0,0,0,8,2012
Modeling higher-order term dependencies in information retrieval using query hypergraphs,0,4,0,0,0,0,0,16,8,2012
Time-based calibration of effectiveness measures,4,2,2,0,0,0,0,32,8,2012
"Top-k learning to rank: labeling, ranking and evaluation",8,0,0,0,0,0,0,0,8,2012
A utility-theoretic ranking method for semi-automated text classification,6,0,0,0,0,0,0,18,6,2012
An exploration of ranking heuristics in mobile local search,3,3,0,0,0,0,0,18,6,2012
Automatic term mismatch diagnosis for selective query expansion,0,0,0,0,0,0,0,24,6,2012
Generating reformulation trees for complex queries,2,0,0,0,0,0,0,0,6,2012
Learning to predict response times for online query scheduling,0,0,0,0,0,0,0,0,6,2012
Placing images on the world map: a microblog-based enrichment approach,0,6,0,0,0,0,0,0,6,2012
Proximity-based rocchio's model for pseudo relevance,0,3,0,0,0,0,0,18,6,2012
Rhetorical relations for information retrieval,3,3,0,0,0,0,0,0,6,2012
Category hierarchy maintenance: a data-driven approach,0,5,0,0,0,0,0,0,5,2012
Clarity re-visited,0,0,0,5,0,0,0,25,5,2012
To index or not to index: time-space trade-offs in search engines with positional ranking functions,0,5,0,0,0,0,0,0,5,2012
"When web search fails, searchers become askers: understanding the transition",5,0,0,0,0,0,0,0,5,2012
An IR-based evaluation framework for web search query segmentation,0,0,0,0,0,0,0,0,4,2012
Automatic refinement of patent queries using concept importance predictors,0,0,0,0,0,0,0,0,4,2012
Creating temporally dynamic web search snippets,4,0,0,0,0,0,0,0,4,2012
Evaluating aggregated search pages,0,4,0,0,0,0,0,0,4,2012
Extending BM25 with multiple query operators,4,0,0,0,0,0,0,0,4,2012
Index maintenance for time-travel text search,0,4,0,0,0,0,0,16,4,2012
On judgments obtained from a commercial search engine,0,0,0,0,0,0,0,0,4,2012
Online result cache invalidation for real-time web search,4,0,0,0,0,0,0,0,4,2012
Personalized click shaping through lagrangian duality for online recommendation,0,0,0,0,0,0,0,0,4,2012
Social annotations: utility and prediction modeling,4,0,0,0,0,0,0,16,4,2012
Utilizing inter-document similarities in federated search,0,2,0,0,0,0,0,0,4,2012
A generalized hidden Markov model with discriminative training for query spelling correction,0,0,0,0,0,0,0,0,3,2012
Automatic suggestion of query-rewrite rules for enterprise search,0,3,0,0,0,0,0,0,3,2012
Combining inverted indices and structured search for ad-hoc object retrieval,0,0,0,0,0,0,0,0,3,2012
Dual role model for question recommendation in community question answering,0,0,0,0,0,0,0,0,3,2012
Explicit relevance models in intent-oriented information retrieval diversification,0,3,0,0,0,0,0,0,3,2012
Learning to select a time-aware retrieval model,0,3,0,0,0,0,0,0,3,2012
Looking inside the box: context-sensitive translation for cross-language information retrieval,0,3,0,0,0,0,0,0,3,2012
Predicting quality flaws in user-generated content: the case of wikipedia,3,0,0,0,0,0,0,0,3,2012
Prefetching query results and its impact on search engines,3,0,0,0,0,0,0,0,3,2012
Robust ranking models via risk-sensitive optimization,0,0,0,0,0,0,0,0,3,2012
Unsupervised linear score normalization revisited,0,3,0,0,0,0,0,0,3,2012
Diversity by proportionality: an election-based approach to search result diversification,2,0,0,0,0,0,0,4,2,2012
Finding translations in scanned book collections,2,0,0,0,0,0,0,0,2,2012
IR models: foundations and relationships,0,0,0,0,0,0,0,2,2,2012
Language intent models for inferring user browsing behavior,2,0,0,0,0,0,0,0,2,2012
Optimizing positional index structures for versioned document collections,2,0,0,0,0,0,0,0,2,2012
Personalized diversification of search results,0,0,0,0,0,0,0,0,2,2012
Query performance prediction for IR,0,0,0,0,0,0,0,0,2,2012
Social-network analysis using topic models,2,0,0,0,0,0,0,4,2,2012
Structural relationships for large-scale learning of answer re-ranking,2,0,0,0,0,0,0,0,2,2012
Time to judge relevance as an indicator of assessor error,0,0,0,0,0,0,0,0,2,2012
A knowledge-based approach for summarising opinions,1,0,0,0,0,0,0,0,1,2012
Adversarial content manipulation effects,0,1,0,0,0,0,0,0,1,2012
Short text classification using very few words,1,0,0,0,0,0,0,0,1,2012
Cluster-based fusion of retrieved lists,10,4,0,2,0,0,0,0,18,2011
Evolutionary timeline summarization: a balanced optimization framework via iterative substitution,12,0,0,0,0,0,0,108,18,2011
Social context summarization,6,12,0,0,0,0,0,0,18,2011
Timestamp-based result cache invalidation for web search engines,10,5,0,0,0,0,0,0,15,2011
Enriching document representation via translation for improved monolingual information retrieval,4,4,0,0,0,0,0,28,14,2011
Query by document via a decomposition-based two-level retrieval approach,7,0,0,0,0,0,0,98,14,2011
Clickthrough-based latent semantic models for web search,3,6,0,0,0,0,0,72,12,2011
Quantifying test collection quality based on the consistency of relevance judgements,6,3,0,3,0,0,0,0,12,2011
Summarizing the differences in multilingual news,0,4,0,0,0,0,0,0,12,2011
SCENE: a scalable two-stage personalized news recommendation system,10,0,0,0,0,0,0,50,10,2011
Why searchers switch: understanding and predicting engine switching rationales,10,0,0,0,0,0,0,0,10,2011
A boosting approach to improving pseudo-relevance feedback,0,0,0,0,0,0,0,27,9,2011
Detecting outlier sections in us congressional legislation,3,6,0,0,0,0,0,0,9,2011
Parameterized concept weighting in verbose queries,0,3,0,0,0,0,0,0,9,2011
Posting list intersection on multicore architectures,9,0,0,0,0,0,0,0,9,2011
Crowdsourcing for book search evaluation: impact of hit design on comparative system ranking,4,0,0,0,0,0,0,32,8,2011
Social annotation in query expansion: a machine learning approach,0,4,0,0,0,0,0,0,8,2011
Efficient manifold ranking for image retrieval,0,7,0,0,0,0,0,0,7,2011
Predicting web searcher satisfaction with existing community-based answers,0,0,0,7,0,0,0,0,7,2011
A cascade ranking model for efficient ranked retrieval,6,0,0,0,0,0,0,0,6,2011
Automatic boolean query suggestion for professional search,3,3,0,0,0,0,0,0,6,2011
CRTER: using cross terms to enhance probabilistic information retrieval,3,0,0,0,0,0,0,0,6,2011
Document clustering with universum,0,6,0,0,0,0,0,0,6,2011
Enhancing ad-hoc relevance weighting using probability density estimation,6,0,0,0,0,0,0,0,6,2011
Faster top-k document retrieval using block-max indexes,2,4,0,0,0,0,0,0,6,2011
Hypergeometric language models for republished article finding,3,0,0,0,0,0,0,0,6,2011
Query suggestions in the absence of query logs,0,3,0,3,0,0,0,18,6,2011
Who should share what?: item-level social influence prediction for users and posts ranking,6,0,0,0,0,0,0,0,6,2011
Indexing strategies for graceful degradation of search quality,0,0,0,0,0,0,0,25,5,2011
Machine learning for information retrieval,2,0,0,0,0,0,0,5,5,2011
Modeling and analysis of cross-session search tasks,0,0,0,0,0,0,0,0,5,2011
Multimedia answering: enriching text QA with media information,0,5,0,0,0,0,0,0,5,2011
Enhanced results for web search,0,0,0,0,0,0,0,0,4,2011
Estimation methods for ranking recent information,0,4,0,0,0,0,0,8,4,2011
Evaluating diversified search results using per-intent graded relevance,2,0,2,0,0,0,0,0,4,2011
On theme location discovery for travelogue services,4,0,0,0,0,0,0,0,4,2011
Probabilistic factor models for web site recommendation,0,4,0,0,0,0,0,0,4,2011
Pseudo test collections for learning web search ranking functions,0,0,0,0,0,0,0,0,4,2011
Regularized latent semantic indexing,0,0,0,0,0,0,0,0,4,2011
Temporal index sharding for space-time efficiency in archive search,4,0,0,0,0,0,0,16,4,2011
Unsupervised query segmentation using clickthrough for information retrieval,4,0,0,0,0,0,0,0,4,2011
A novel corpus-based stemming algorithm using co-occurrence statistics,0,0,0,3,0,0,0,9,3,2011
Collective topic modeling for heterogeneous networks,0,0,0,0,0,0,0,9,3,2011
Composite hashing with multiple information sources,0,3,0,0,0,0,0,9,3,2011
Filtering semi-structured documents based on faceted feedback,3,0,0,0,0,0,0,0,3,2011
Functional matrix factorizations for cold-start recommendation,3,0,0,0,0,0,0,0,3,2011
Improved query performance prediction using standard deviation,3,0,0,0,0,0,0,0,3,2011
Intent-aware search result diversification,0,3,0,0,0,0,0,0,3,2011
Time-based relevance models,3,0,0,0,0,0,0,0,3,2011
Faster temporal range queries over versioned text,2,0,0,0,0,0,0,0,2,2011
Ranking tags in resource collections,0,2,0,0,0,0,0,0,2,2011
Recommending ephemeral items at web scale,0,2,0,0,0,0,0,0,2,2011
Time-based query performance predictors,0,2,0,0,0,0,0,0,2,2011
Utilizing minimal relevance feedback for ad hoc retrieval,2,0,0,0,0,0,0,0,2,2011
"System effectiveness, user models, and user utility: a conceptual framework for investigation",1,0,0,0,0,0,0,0,1,2011
To translate or not to translate?,32,0,0,0,0,0,0,256,32,2010
Estimating probabilities for effective data fusion,12,12,0,0,0,0,0,180,30,2010
Generalized syntactic and semantic models of query reformulation,0,28,0,0,0,0,0,196,28,2010
A joint probabilistic classification model for resource selection,10,10,0,0,0,0,0,250,25,2010
Multi-style language model for web scale information retrieval,9,3,0,0,0,0,0,63,21,2010
Estimation of statistical translation models based on mutual information for ad hoc information retrieval,6,10,0,0,0,0,0,80,20,2010
Mining the blogosphere for top news stories identification,0,12,0,0,0,0,0,0,20,2010
"Score distribution models: assumptions, intuition, and robustness to score manipulation",8,4,0,0,0,0,0,64,16,2010
Multilingual PRF: english lends a helping hand,3,6,0,0,0,0,0,0,12,2010
Using statistical decision theory and relevance models for query-performance prediction,3,6,0,3,0,0,0,36,12,2010
Person name disambiguation by bootstrapping,0,10,0,0,0,0,0,0,10,2010
Properties of optimally weighted data fusion in CBMIR,6,0,0,0,0,0,0,27,9,2010
Weighted Feature Subset Non-negative Matrix Factorization and Its Applications to Document Understanding,0,6,0,0,0,0,0,0,9,2010
A Survival Modeling Approach to Biomedical Search Result Diversification Using Wikipedia,8,0,0,0,0,0,0,0,8,2010
Do user preferences and evaluation measures line up?,4,0,0,0,0,0,0,0,8,2010
Positional relevance model for pseudo-relevance feedback,0,0,0,0,4,0,0,16,8,2010
Finding people and their utterances in social media,1,1,0,0,0,0,0,7,7,2010
A network-based model for high-dimensional information filtering,3,3,0,0,0,0,0,0,6,2010
Caching search engine results over incremental indices,0,0,0,0,0,0,0,0,6,2010
EUSUM: extracting easy-to-understand english summaries for non-native readers,0,6,0,0,0,0,0,0,6,2010
Geometric representations for multiple documents,2,2,0,0,0,0,0,12,6,2010
Linking wikipedia to the web,0,3,0,0,0,3,0,0,6,2010
Prototype hierarchy based clustering for the categorization and navigation of web collections,6,0,0,0,0,0,0,0,6,2010
Temporally-aware algorithms for document classification,6,0,0,0,0,0,0,0,6,2010
The effect of assessor error on IR system evaluation,6,0,0,0,0,0,0,0,6,2010
The importance of anchor text for ad hoc search revisited,2,2,0,2,0,0,0,12,6,2010
Achieving high accuracy retrieval using intra-document term ranking,0,0,0,0,0,0,0,0,5,2010
Query forwarding in geographically distributed search engines,0,0,0,0,0,0,0,0,5,2010
Social media recommendation based on people and tags,5,0,0,0,0,0,0,0,5,2010
A content based approach for discovering missing anchor text for web search,0,0,0,0,0,0,0,8,4,2010
Comparing the sensitivity of information retrieval metrics,4,0,0,0,0,0,0,8,4,2010
Estimating advertisability of tail queries for sponsored search,0,4,0,0,0,0,0,0,4,2010
Evaluating verbose query processing techniques,0,2,0,0,0,0,0,0,4,2010
Exploring the use of labels to shortcut search trails,4,0,0,0,0,0,0,0,4,2010
"Freshness matters: in flowers, food, and web authority",0,4,0,0,0,0,0,8,4,2010
Human performance and retrieval precision revisited,2,0,0,0,0,0,0,8,4,2010
Image search by concept map,0,0,0,0,0,0,0,0,4,2010
Learning to rank for information retrieval,3,1,0,0,0,0,0,0,4,2010
Learning to rank only using training data from related domain,0,4,0,0,0,0,0,0,4,2010
Multi-view clustering of multilingual documents,0,4,0,0,0,0,0,0,4,2010
Query quality: user ratings and system predictions,0,0,0,0,0,0,0,16,4,2010
Ranking using multiple document types in desktop search,0,2,0,0,0,0,0,0,4,2010
Reusable test collections through experimental design,4,0,0,0,0,0,0,16,4,2010
Self-taught hashing for fast similarity search,0,0,0,0,0,0,0,0,4,2010
Visual summarization of web pages,4,0,0,0,0,0,0,16,4,2010
Content-enriched classifier for web video classification,0,3,0,0,0,0,0,0,3,2010
Extending average precision to graded relevance judgments,3,0,0,0,0,0,0,0,3,2010
From fusion to re-ranking: a semantic approach,3,0,0,0,0,0,0,0,3,2010
Learning to rank query reformulations,0,0,0,0,0,0,0,0,3,2010
Predicting query performance on the web,0,3,0,0,0,0,0,0,3,2010
Proximity-based opinion retrieval,0,3,0,0,0,0,0,0,3,2010
Spatial relationships in visual graph modeling for image categorization,0,3,0,0,0,0,0,9,3,2010
Understanding web browsing behaviors through Weibull analysis of dwell time,3,0,0,0,0,0,0,9,3,2010
Vertical selection in the presence of unlabeled verticals,3,0,0,0,0,0,0,9,3,2010
VisualSum: an interactive multi-document summarizationsystem using visualization,0,0,0,0,0,0,0,0,3,2010
Diversification of search results using webgraphs,0,0,0,0,0,0,0,0,2,2010
Effective query expansion with the resistance distance based term similarity metric,2,0,0,0,0,0,0,0,2,2010
Evaluating and predicting answer quality in community QA,2,0,0,0,0,0,0,4,2,2010
HCC: a hierarchical co-clustering algorithm,0,0,0,0,0,0,0,0,2,2010
Hierarchical pitman-yor language model for information retrieval,2,0,0,0,0,0,0,0,2,2010
Interactive retrieval based on faceted feedback,0,0,0,0,0,0,0,0,2,2010
Learning to efficiently rank,0,2,0,0,0,0,0,0,2,2010
Many are better than one: improving multi-document summarization via weighted consensus,0,2,0,0,0,0,0,4,2,2010
Multilabel classification with meta-level features,0,0,0,0,0,0,0,0,2,2010
On statistical analysis and optimization of information retrieval effectiveness metrics,0,0,0,0,0,0,0,4,2,2010
PRES: a score metric for evaluating recall-oriented information retrieval applications,0,2,0,0,0,0,0,0,2,2010
Query recovery of short user queries: on query expansion with stopwords,0,0,0,0,0,0,0,0,2,2010
Retrieval system evaluation: automatic evaluation versus incomplete judgments,0,2,0,0,0,0,0,0,2,2010
SED: supervised experimental design and its application to text classification,0,2,0,0,0,0,0,0,2,2010
Serendipitous recommendations via innovators,1,0,0,0,0,0,0,0,1,2010
Including summaries in system evaluation,30,0,0,0,0,0,0,300,30,2009
Efficiency trade-offs in two-tier web search systems,0,9,0,0,0,0,0,0,15,2009
Addressing morphological variation in alphabetic languages,0,6,0,0,0,0,0,72,12,2009
Positional language models for information retrieval,6,4,0,0,0,0,0,24,12,2009
Sources of evidence for vertical selection,0,4,0,0,0,0,0,0,12,2009
Where to stop reading a ranked list?: threshold optimization using truncated score distributions,0,3,0,0,0,0,0,36,12,2009
Web derived pronunciations for spoken term detection,11,0,0,0,0,0,0,0,11,2009
A proximity language model for information retrieval,4,6,0,0,0,0,0,20,10,2009
Combining LVCSR and vocabulary-independent ranked utterance retrieval for robust speech search,2,2,0,0,0,0,0,0,10,2009
Towards methods for the collective gathering and quality control of relevance assessments,6,3,0,0,0,0,0,0,9,2009
Building enriched document representations using aggregated anchor text,4,4,0,0,0,0,0,0,8,2009
Named entity recognition in query,8,0,0,0,0,0,0,0,8,2009
Query sampling for ranking learning in web search,0,4,0,0,0,0,0,32,8,2009
Risky business: modeling and exploiting uncertainty in information retrieval,0,4,0,0,0,0,4,32,8,2009
Using anchor texts with their hyperlink structure for web search,0,4,0,0,0,0,0,32,8,2009
A comparison of query and term suggestion features for interactive searching,0,6,0,0,0,0,0,0,6,2009
A ranking approach to keyphrase extraction,6,0,0,0,0,0,0,0,6,2009
Approximating true relevance distribution from a mixture model based on irrelevance data,3,3,0,0,0,0,0,18,6,2009
Automatic video tagging using content redundancy,3,3,0,0,0,0,0,0,6,2009
Cluster-based query expansion,2,0,0,2,0,0,0,12,6,2009
Compressing term positions in web indexes,0,6,0,0,0,0,0,0,6,2009
Dynamicity vs. effectiveness: studying online clustering for scatter/gather,0,0,0,0,0,0,0,36,6,2009
Integrating phrase inseparability in phrase-based model,0,0,0,0,0,0,0,0,6,2009
Learning to rank for quantity consensus queries,3,3,0,0,0,0,0,0,6,2009
Predicting user interests from contextual information,3,3,0,0,0,0,0,0,6,2009
Query dependent pseudo-relevance feedback based on wikipedia,3,3,0,0,0,0,0,36,6,2009
Reducing long queries using query quality predictors,0,4,0,2,0,0,0,12,6,2009
Segment-level display time as implicit feedback: a comparison to eye tracking,3,0,3,0,0,0,0,18,6,2009
Simultaneously modeling semantics and structure of threaded discussions: a sparse coding approach and its applications,6,0,0,0,0,0,0,0,6,2009
Web searching for daily living,6,0,0,0,0,0,0,0,6,2009
When is query performance prediction effective?,6,0,0,0,0,0,0,0,6,2009
A latent topic model for linked documents,0,0,0,0,0,0,0,25,5,2009
An automatic translation of tags for multimedia contents using folksonomy networks,5,0,0,0,0,0,0,0,5,2009
An improved markov random field model for supporting verbose queries,1,2,1,0,0,0,0,0,4,2009
Combining audio content and social context for semantic music discovery,4,0,0,0,0,0,0,0,4,2009
SUSHI: scoring scaled samples for server selection,0,0,0,0,0,0,0,8,4,2009
Topic (query) selection for IR evaluation,0,0,0,0,0,0,0,0,4,2009
A graph-based approach to mining multilingual word associations from wikipedia,0,0,0,0,0,0,0,0,3,2009
Developing energy efficient filtering systems,0,0,0,0,0,0,0,0,3,2009
Integrating clusters created offline with query-specific clusters for document retrieval,3,0,0,0,0,0,0,0,3,2009
Learning to recommend with social trust ensemble,0,3,0,0,0,0,0,0,3,2009
Placing flickr photos on a map,3,0,0,0,0,0,0,0,3,2009
Quantifying performance and quality gains in distributed web search engines,0,0,0,0,0,0,0,0,3,2009
Query side evaluation: an empirical analysis of effectiveness and effort,1,2,0,0,0,0,0,0,3,2009
Revisiting logical imaging for information retrieval,0,0,0,0,0,0,0,0,3,2009
A bayesian learning approach to promoting diversity in ranking for biomedical information retrieval,0,2,0,0,0,0,0,0,2,2009
A case for improved evaluation of query difficulty prediction,0,0,0,0,0,0,0,0,2,2009
A classification-based approach to question answering in discussion boards,0,0,0,0,0,0,0,0,2,2009
Adaptation of offline vertical selection predictions in the presence of user feedback,0,2,0,0,0,0,0,0,2,2009
Learning in a pairwise term-term proximity framework for information retrieval,0,0,0,0,0,0,0,0,2,2009
Portfolio theory of information retrieval,2,0,0,0,0,0,0,0,2,2009
Refined experts: improving classification in large taxonomies,0,0,0,0,0,0,0,4,2,2009
Score adjustment for correction of pooling bias,2,0,0,0,0,0,0,0,2,2009
The ESA retrieval model revisited,0,0,0,0,0,0,0,0,2,2009
Web-derived resources for web information retrieval: from conceptual hierarchies to attribute hierarchies,0,2,0,0,0,0,0,4,2,2009
Brute force and indexed approaches to pairwise document similarity comparisons with MapReduce,1,0,0,0,0,0,0,0,1,2009
Cross language name matching,0,1,0,0,0,0,0,0,1,2009
On rank correlation and the distance between rankings,1,0,0,0,0,0,0,0,1,2009
Topic set size redux,1,0,0,0,0,0,0,0,1,2009
Multi-document summarization via sentence-level semantic analysis and symmetric matrix factorization,8,12,0,0,0,0,0,0,20,2008
A lattice-based approach to query-by-example spoken document retrieval,0,16,0,0,0,0,0,128,16,2008
Parsimonious relevance models,4,0,0,0,0,0,0,64,16,2008
A few examples go a long way: constructing query models from elaborate query formulations,9,0,0,0,0,0,0,90,15,2008
A general optimization framework for smoothing language models on graph structures,0,0,0,0,0,0,0,90,15,2008
A study of methods for negative relevance feedback,6,3,3,0,0,0,0,0,15,2008
Finding question-answer pairs from online forums,0,0,0,0,0,0,0,75,15,2008
The opposite of smoothing: a language model approach to ranking query-specific document clusters,0,0,0,0,0,0,0,28,14,2008
A rank-aggregation approach to searching for optimal query-specific clusters,2,8,0,0,0,0,0,24,12,2008
A unified and discriminative model for query refinement,4,4,0,0,0,0,0,0,12,2008
Affective feedback: an investigation into the role of emotions in the information seeking process,12,0,0,0,0,0,0,0,12,2008
Discriminative probabilistic models for passage based retrieval,4,4,0,0,0,0,0,0,12,2008
Enhancing web search by promoting multiple search engine use,0,0,0,0,0,0,0,0,12,2008
Intuition-supporting visualization of user's performance based on explicit negative higher-order relevance,0,8,0,0,0,0,0,0,12,2008
Optimizing relevance and revenue in ad search: a query substitution approach,0,6,0,0,0,0,0,0,12,2008
Query dependent ranking using K-nearest neighbor,0,0,0,0,0,0,0,0,12,2008
Relevance assessment: are judges exchangeable and does it matter,0,0,0,6,0,0,0,144,12,2008
Retrieval models for question and answer archives,6,6,0,0,0,0,0,0,12,2008
The good and the bad system: does the test collection predict users' effectiveness?,4,0,0,0,0,0,0,96,12,2008
A cluster-based resampling method for pseudo-relevance feedback,0,6,0,0,0,0,0,0,9,2008
A new probabilistic retrieval model based on the dirichlet compound multinomial distribution,4,0,0,0,0,0,0,32,8,2008
Deep classification in large-scale text hierarchies,0,4,0,0,0,0,0,32,8,2008
How do users find things with PubMed?: towards automatic utility evaluation with user simulations,0,0,0,0,0,0,0,16,8,2008
Knowledge transformation from word space to document space,4,4,0,0,0,0,0,0,8,2008
Query-drift prevention for robust query expansion,2,4,0,0,0,0,0,16,8,2008
Selecting good expansion terms for pseudo-relevance feedback,4,0,0,0,0,0,0,32,8,2008
TSCAN: a novel method for topic summarization and content anatomy,2,0,0,0,0,0,0,48,8,2008
BrowseRank: letting web users vote for page importance,0,0,7,0,0,0,0,0,7,2008
Enhancing text clustering by leveraging Wikipedia semantics,0,0,0,0,0,0,0,0,7,2008
Novelty and diversity in information retrieval evaluation,7,0,0,0,0,0,0,0,7,2008
A new rank correlation coefficient for information retrieval,3,3,0,0,0,0,0,0,6,2008
Automatic document prior feature selection for web retrieval,6,0,0,0,0,0,0,0,6,2008
Bilingual topic aspect classification with a few training examples,2,2,0,0,0,0,0,24,6,2008
Comments-oriented document summarization: understanding documents with readers' feedback,3,3,0,0,0,0,0,0,6,2008
Discovering key concepts in verbose queries,0,4,0,0,0,0,0,0,6,2008
Effective and efficient user interaction for long queries,2,2,0,0,0,0,0,12,6,2008
Exploiting sequential dependencies for expert finding,3,0,0,0,0,0,0,0,6,2008
Exploring traversal strategy for web forum crawling,6,0,0,0,0,0,0,0,6,2008
Retrieval sensitivity under training using different measures,3,0,0,0,0,0,0,0,6,2008
To personalize or not to personalize: modeling queries with variation in user intent,3,0,0,0,0,0,0,18,6,2008
Web query translation via web log mining,0,6,0,0,0,0,0,0,6,2008
Algorithmic mediation for collaborative exploratory search,0,5,0,0,0,0,0,0,5,2008
Adaptive label-driven scaling for latent semantic indexing,0,4,0,0,0,0,0,0,4,2008
Automatically identifying localizable queries,2,0,0,0,0,0,0,0,4,2008
Classifiers without borders: incorporating fielded text from neighboring web pages,4,0,0,0,0,0,0,0,4,2008
Learning to rank at query-time using association rules,4,0,0,0,0,0,0,0,4,2008
Learning to rank with partially-labeled data,2,2,0,0,0,0,0,0,4,2008
Learning to rank with ties,0,4,0,0,0,0,0,0,4,2008
Multi-document summarization using cluster-based link analysis,2,2,0,0,0,0,0,0,4,2008
Parsimonious concept modeling,0,4,0,0,0,0,0,16,4,2008
Precision-at-ten considered redundant,0,0,0,0,0,0,0,0,4,2008
Query-sensitive mutual reinforcement chain and its application in query-oriented multi-document summarization,4,0,0,0,0,0,0,16,4,2008
Reorganizing compressed text,0,0,0,0,0,0,0,0,4,2008
ResIn: a combination of results caching and index pruning for high-performance web search engines,0,0,0,0,0,0,0,0,4,2008
Retrieval and feedback models for blog feed search,0,4,0,0,0,0,0,0,4,2008
Site-based dynamic pruning for query processing in search engines,0,0,0,0,0,0,0,0,4,2008
Spectral geometry for simultaneously clustering and ranking query search results,4,0,0,0,0,0,0,0,4,2008
User adaptation: good results from poor systems,0,0,0,0,0,0,0,8,4,2008
A boosting algorithm for learning bipartite ranking functions with partially labeled data,0,3,0,0,0,0,0,0,3,2008
A comparative evaluation of different link types on enhancing document clustering,0,0,0,0,0,0,0,0,3,2008
A flexible extension of XPath to improve XML querying,3,0,0,0,0,0,0,0,3,2008
A study of learning a merge model for multilingual information retrieval,0,3,0,0,0,0,0,0,3,2008
Analyzing web text association to disambiguate abbreviation in queries,3,0,0,0,0,0,0,0,3,2008
Don't have a stemmer?: be un+concern+ed,0,3,0,0,0,0,0,0,3,2008
Emulating query-biased summaries using document titles,0,0,0,0,0,0,0,0,3,2008
Exploiting correlated keywords to improve approximate information filtering,0,3,0,0,0,0,0,0,3,2008
Fixed-threshold SMO for Joint Constraint Learning Algorithm of Structural SVM,0,0,0,0,0,0,0,9,3,2008
Learning query intent from regularized click graphs,0,0,0,0,0,0,0,0,3,2008
Learning to reduce the semantic gap in web image retrieval and annotation,0,3,0,0,0,0,0,0,3,2008
Predicting information seeker satisfaction in community question answering,3,0,0,0,0,0,0,0,3,2008
Query expansion using gaze-based feedback on the subdocument level,0,0,0,0,0,0,0,0,3,2008
Relevance judgments between TREC and Non-TREC assessors,0,0,0,0,0,0,0,9,3,2008
Score standardization for inter-collection comparison of retrieval systems,0,0,0,0,0,0,0,0,3,2008
Task-aware search personalization,3,0,0,0,0,0,0,0,3,2008
A bayesian logistic regression model for active relevance feedback,2,0,0,0,0,0,0,0,2,2008
Ambiguous queries: test collections need more sense,1,0,0,0,0,0,0,2,2,2008
Improving biomedical document retrieval using domain knowledge,0,2,0,0,0,0,0,4,2,2008
